f1	f2	t
2.09	2.55	1
1.52	-1.32	0
1.68	4.52	0
1.98	3.44	1
1.35	-3.43	0
2.02	6.53	1
2.21	11.77	1
1.79	3.35	0
1.06	4.28	0
1.87	1.60	0
1.90	-2.70	1
2.06	3.41	1
2.35	3.39	1
1.15	9.03	0
2.77	0.37	1
2.81	-1.99	1
1.53	3.63	0
1.84	4.15	0
1.89	-0.21	0
1.35	-0.16	0
2.36	7.29	1
1.65	3.55	0
2.25	-4.29	1
1.24	-0.96	0
1.60	4.83	0
1.74	6.18	0
1.60	9.33	0
2.05	5.78	1
1.99	5.55	1
2.20	4.68	1
1.41	-0.22	0
2.34	6.05	1
1.87	-2.19	0
2.25	-0.88	1
2.49	2.43	1
2.32	3.09	1
2.45	0.46	1
1.75	2.26	0
1.94	6.60	1
2.65	1.78	1
2.25	1.40	1
2.23	-1.86	1
2.13	10.03	1
1.73	2.29	0
2.49	-0.50	1
1.58	14.22	0
2.60	1.63	1
2.01	-0.62	1
1.65	-2.94	0
2.00	-0.05	1
1.90	1.65	1
1.44	5.17	0
2.01	4.08	1
1.69	5.15	0
2.21	2.49	1
1.83	4.27	0
2.11	3.32	1
1.95	-0.15	1
2.43	4.05	1
1.93	3.50	1
1.89	3.58	0
2.55	5.55	1
1.99	6.51	1
1.93	5.20	1
2.27	-1.14	1
2.18	3.71	1
1.85	-1.76	0
1.80	-4.73	0
1.55	3.07	0
1.32	1.85	0
1.49	0.65	0
1.74	-1.75	0
1.73	6.97	0
2.20	-0.94	1
1.89	8.58	0
2.13	-0.03	1
1.92	-4.96	1
1.94	-2.87	1
1.33	3.77	0
2.11	4.31	1
2.11	3.47	1
1.31	-4.33	0
1.88	-1.87	0
2.32	1.08	1
1.30	7.38	0
1.74	4.75	0
2.13	4.56	1
1.80	1.55	0
1.85	-3.89	0
1.68	3.81	0
2.23	-2.50	1
2.97	1.00	1
2.07	3.04	1
1.85	-0.60	0
1.84	5.36	0
2.50	6.01	1
1.74	-0.13	0
2.08	3.47	1
2.25	4.17	1
1.96	-5.67	1
1.61	-1.42	0
2.47	6.12	1
1.28	9.50	0
1.56	4.02	0
2.63	1.95	1
1.83	1.06	0
2.75	0.49	1
1.79	1.15	0
2.27	7.07	1
1.36	-2.70	0
1.98	2.00	1
2.13	-10.39	1
2.00	8.77	1
1.90	2.69	1
1.86	0.27	0
1.36	0.21	0
2.20	-0.50	1
2.37	-0.79	1
1.47	5.17	0
2.22	1.58	1
1.73	2.12	0
2.24	-5.83	1
1.85	2.98	0
1.36	3.45	0
2.56	1.78	1
2.15	3.42	1
2.45	1.58	1
2.60	0.89	1
1.72	0.12	0
1.66	1.25	0
2.48	4.25	1
1.53	0.65	0
1.30	5.44	0
1.94	3.66	1
1.75	0.96	0
1.65	-0.11	0
2.03	1.80	1
2.24	6.24	1
1.72	-0.99	0
2.14	6.92	1
2.02	2.64	1
1.80	-2.41	0
1.78	1.26	0
2.12	7.73	1
1.94	-0.31	1
2.00	-4.46	1
2.20	2.37	1
2.03	-2.94	1
2.07	-1.31	1
2.09	-0.03	1
2.70	6.81	1
2.07	6.47	1
1.96	5.98	1
2.22	11.47	1
2.71	1.46	1
2.19	-2.11	1
2.70	0.78	1
2.13	4.78	1
1.74	-4.27	0
2.13	0.11	1
1.71	-2.03	0
1.91	-0.22	1
1.42	1.37	0
1.51	4.05	0
2.42	3.19	1
2.14	2.52	1
2.18	6.77	1
2.36	-2.45	1
2.11	-1.53	1
1.48	-1.92	0
2.03	2.59	1
2.46	5.77	1
1.33	6.44	0
1.99	-2.48	1
2.14	2.59	1
1.52	2.98	0
1.82	-0.46	0
2.24	2.43	1
2.54	4.05	1
1.48	3.51	0
2.44	-0.75	1
1.85	1.95	0
1.52	8.67	0
1.47	4.91	0
2.04	5.05	1
1.99	-1.04	1
2.08	-6.11	1
1.74	-3.48	0
2.59	0.26	1
1.69	6.11	0
1.20	2.21	0
1.87	1.83	0
2.09	-3.45	1
2.32	-3.07	1
2.36	1.89	1
2.02	-3.02	1
2.43	10.43	1
1.87	2.75	0
2.54	1.58	1
1.61	-6.91	0
2.05	-2.03	1
2.23	7.23	1
1.96	-6.42	1
2.87	1.47	1
2.51	0.89	1
2.07	3.97	1
1.91	5.63	1
1.48	0.90	0
2.09	14.12	1
1.73	-7.17	0
2.01	-2.27	1
2.07	-1.00	1
2.08	-3.95	1
1.99	6.87	1
2.33	0.00	1
1.30	6.88	0
2.07	5.72	1
2.53	8.30	1
2.87	2.26	1
2.45	12.89	1
1.61	1.90	0
2.24	-2.74	1
2.57	4.79	1
1.67	1.97	0
1.41	-1.54	0
2.06	1.84	1
1.96	3.38	1
1.16	3.03	0
1.75	7.18	0
1.95	5.82	1
1.89	7.30	0
2.95	2.28	1
2.16	2.02	1
2.15	-3.94	1
2.07	4.47	1
1.46	-0.34	0
2.02	7.65	1
2.00	5.35	1
1.45	3.43	0
2.51	3.88	1
1.45	-2.92	0
1.96	2.43	1
2.45	4.20	1
2.45	3.55	1
1.78	7.55	0
2.20	2.00	1
1.40	-0.16	0
2.36	0.49	1
2.38	1.30	1
1.94	3.20	1
2.37	4.77	1
1.16	2.72	0
1.97	0.66	1
1.90	3.44	1
2.55	-1.72	1
2.18	0.46	1
2.31	1.67	1
1.81	2.73	0
2.31	5.25	1
1.83	3.55	0
1.93	3.53	1
2.55	-2.28	1
2.09	7.58	1
2.28	4.37	1
2.77	-3.87	1
2.17	3.10	1
2.02	-3.47	1
2.13	0.24	1
1.38	4.34	0
1.40	5.09	0
2.01	6.65	1
2.37	5.69	1
2.04	3.62	1
1.93	-0.46	1
2.41	4.71	1
1.73	-7.84	0
1.33	2.43	0
2.15	0.06	1
2.15	6.08	1
1.83	-1.67	0
2.33	0.56	1
2.23	9.81	1
1.77	-4.29	0
1.60	0.81	0
1.66	-7.59	0
2.00	-2.17	1
2.66	-4.91	1
2.09	4.88	1
