feat1	feat2	target	target2	target3	3classes
34.43	116.04	0	0	0	2
31.85	258.72	0	0	1	0
29.42	180.43	1	0	0	0
34.51	171.77	0	0	0	2
30.07	165.51	1	0	0	0
27.87	237.72	1	1	0	0
25.08	212.47	0	1	0	1
29.51	213.95	1	1	0	0
28.69	178.02	1	0	0	0
33.62	194.53	0	0	0	2
36.51	217.66	0	0	1	2
36.50	204.99	0	0	1	2
24.60	176.08	0	0	0	1
36.74	229.94	0	0	1	2
27.98	39.10	0	0	0	0
25.43	291.21	0	0	0	1
29.43	325.45	1	0	1	0
26.63	153.16	0	0	0	0
28.19	226.18	1	1	0	0
31.58	202.18	0	1	0	0
34.92	170.50	0	0	1	2
21.42	231.41	0	1	0	1
25.54	116.48	0	0	0	0
25.79	204.57	0	0	0	1
28.63	172.79	1	0	0	0
32.60	164.75	0	0	0	0
32.78	233.08	0	1	1	0
22.19	228.00	0	1	0	1
34.23	158.75	0	0	0	2
35.04	198.72	0	0	1	2
23.07	195.56	0	0	0	1
36.48	126.23	0	0	1	2
25.62	163.26	0	0	0	1
30.63	244.92	1	1	1	0
29.14	121.68	0	0	0	0
29.18	188.22	1	0	0	0
31.40	184.73	0	0	0	0
27.98	297.00	1	0	0	0
36.01	200.95	0	0	1	2
29.98	180.43	1	0	0	0
36.34	214.15	0	0	1	2
35.26	249.69	0	0	1	2
22.99	183.34	0	0	0	1
36.57	339.75	0	0	1	2
37.46	189.16	0	0	1	2
33.40	305.68	0	0	1	2
28.71	163.80	1	0	0	0
34.97	186.70	0	0	1	2
22.89	98.68	0	0	0	1
27.52	41.32	0	0	0	0
33.31	207.14	0	0	0	0
37.35	279.00	0	0	1	2
27.95	155.70	1	0	0	0
30.35	199.46	1	1	0	0
35.00	181.74	0	0	1	2
36.28	108.08	0	0	1	2
26.88	216.69	0	1	0	0
29.23	198.19	1	1	0	0
33.66	277.84	0	0	1	2
35.86	150.78	0	0	1	2
35.59	186.62	0	0	1	2
33.89	292.51	0	0	1	2
25.96	230.84	0	1	0	1
37.48	63.19	0	0	1	2
26.01	101.04	0	0	0	0
22.33	225.02	0	1	0	1
31.93	200.89	0	1	0	0
32.81	188.86	0	0	0	0
29.37	221.88	1	1	0	0
23.79	324.05	0	0	0	1
28.13	170.41	1	0	0	0
22.90	235.88	0	1	0	1
23.40	369.95	0	0	0	1
26.64	198.01	0	0	0	0
35.11	126.21	0	0	1	2
33.44	161.10	0	0	0	0
26.13	205.61	0	1	0	0
24.03	154.04	0	0	0	1
26.18	219.12	0	1	0	1
32.07	122.25	0	0	0	0
35.06	239.96	0	0	1	2
23.53	265.75	0	1	0	1
30.37	163.21	1	0	0	0
34.42	143.12	0	0	0	2
33.67	216.44	0	0	0	0
32.54	122.09	0	0	0	0
33.95	232.54	0	0	1	2
33.13	199.29	0	0	0	0
26.78	218.23	0	1	0	0
29.21	246.62	1	1	1	0
29.15	242.68	1	1	1	0
28.62	260.16	1	1	1	0
26.11	123.15	0	0	0	0
32.46	156.63	0	0	0	0
25.96	175.25	0	0	0	0
30.19	214.23	1	1	0	0
39.59	176.66	0	0	1	2
21.64	197.97	0	0	0	1
25.77	269.96	0	1	0	1
29.14	156.35	1	0	0	0
33.92	162.35	0	0	0	2
31.45	202.22	0	1	0	0
33.02	81.71	0	0	0	0
27.09	182.05	0	0	0	0
35.44	206.78	0	0	1	2
38.22	252.21	0	0	1	2
36.19	196.52	0	0	1	2
29.14	295.29	1	0	1	0
25.63	115.28	0	0	0	0
34.82	210.60	0	0	1	2
22.43	249.31	0	1	0	1
25.19	246.38	0	1	0	1
25.76	135.44	0	0	0	0
31.43	182.50	0	0	0	0
28.73	278.27	1	0	1	0
29.87	256.12	1	1	1	0
26.62	301.21	1	0	0	1
28.77	213.81	1	1	0	0
32.68	256.29	0	0	1	0
35.56	165.51	0	0	1	2
32.16	177.29	0	0	0	0
34.59	177.49	0	0	1	2
37.54	179.15	0	0	1	2
32.46	170.18	0	0	0	0
29.74	144.60	1	0	0	0
23.10	247.14	0	1	0	1
31.05	201.38	1	1	0	0
35.55	193.62	0	0	1	2
27.78	113.48	0	0	0	0
35.61	235.70	0	0	1	2
35.66	151.86	0	0	1	2
26.08	160.96	0	0	0	0
29.99	245.36	1	1	1	0
27.44	257.03	1	1	0	0
28.20	74.44	0	0	0	0
31.99	186.79	0	0	0	0
28.56	119.58	0	0	0	0
27.31	180.73	0	0	0	0
31.67	304.99	1	0	1	0
24.17	154.33	0	0	0	1
